GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,org.uteq.backend.futbol.config,FootballApiConfig,0,32,0,0,0,9,0,2,0,2
backend,org.uteq.backend.futbol.config,FootballApiProperties,0,27,0,0,0,1,0,1,0,1
backend,org.uteq.backend.futbol.dto.externo,StandingsExternoDto,0,12,0,0,0,1,0,1,0,1
backend,org.uteq.backend.futbol.dto.externo,StandingsExternoDto.StandingGroupExterno,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.futbol.dto.externo,StandingsExternoDto.TeamStandingExterno,0,33,0,0,0,1,0,1,0,1
backend,org.uteq.backend.futbol.dto.externo,StandingsExternoDto.CompetitionExterno,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.futbol.dto.externo,StandingsExternoDto.SeasonExterno,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.futbol.dto.externo,StandingsExternoDto.TeamExterno,0,9,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.entrenador.entity,Entrenador,18,0,2,0,6,0,3,0,2,0
backend,org.uteq.backend.deportivo.entrenador.dto,EntrenadorResponse,0,45,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.entrenador.dto,EntrenadorRequest,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.deportivo.entrenador.dto,EntrenadorPageResponse,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.usuario.dto,UsuarioPageResponse,0,18,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.usuario.dto,UsuarioResponse,0,36,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.usuario.dto,UsuarioRequest,0,15,0,0,0,1,0,1,0,1
backend,org.uteq.backend.seguridad.auth.controller,AuthController,160,278,17,5,34,75,17,9,7,8
backend,org.uteq.backend.seguridad.persona.controller,PersonaController,13,29,0,0,2,6,2,4,2,4
backend,org.uteq.backend.seguridad.persona.entity,Persona,18,0,2,0,6,0,3,0,2,0
backend,org.uteq.backend.seguridad.usuario.service,UsuarioService,113,156,4,2,15,41,8,8,6,7
backend,org.uteq.backend.common.exception,GlobalExceptionHandler,58,98,0,0,16,26,3,7,3,7
backend,org.uteq.backend.common.exception,RecursoNoEncontradoException,0,5,0,0,0,2,0,1,0,1
backend,org.uteq.backend.common.exception,ProblemDetailsAuthHandlers,56,14,0,0,12,4,3,4,3,4
backend,org.uteq.backend.common.exception,ApiExternaException,0,11,0,0,0,4,0,2,0,2
backend,org.uteq.backend.common.exception,ApiExternaException.Motivo,0,39,0,0,0,7,0,1,0,1
backend,org.uteq.backend.common.exception,ApiException,0,26,0,0,0,8,0,3,0,3
backend,org.uteq.backend.common.exception,TooManyRequestsException,5,0,0,0,2,0,1,0,1,0
backend,org.uteq.backend.futbol.client,FootballDataClient,30,116,0,4,8,29,0,6,0,4
